datetime,Accelerometer1RMS,Accelerometer2RMS,Current,Pressure,Temperature,Thermocouple,Voltage,Volume Flow RateRMS,anomaly,changepoint
2020-02-08 13:30:47,0.20603,0.277924,1.81019,0.382638,90.174,26.776,228.208,121.664,,
2020-02-08 13:30:48,0.204366,0.275727,2.66317,-0.2732159999999999,90.2836,26.776,227.245,122.0,,
2020-02-08 13:30:49,0.206103,0.278526,2.63758,0.382638,89.8666,26.7821,237.872,122.0,,
2020-02-08 13:30:51,0.204775,0.276948,2.32851,0.382638,90.2192,26.7773,230.422,121.338,,
2020-02-08 13:30:52,0.2060519999999999,0.2781409999999999,2.53422,0.382638,90.1449,26.7773,219.454,121.664,,
2020-02-08 13:30:53,0.204336,0.2781,2.56922,0.054711,90.2703,26.7658,221.08900000000003,122.0,,
2020-02-08 13:30:54,0.205697,0.278892,1.95859,0.054711,90.225,26.775,232.327,122.0,,
2020-02-08 13:30:55,0.204775,0.277663,2.4937400000000003,0.054711,90.0302,26.7827,231.269,122.0,,
2020-02-08 13:30:56,0.2064349999999999,0.27773,1.87371,0.054711,89.9812,26.787,228.727,121.338,,
2020-02-08 13:30:57,0.2025,0.278587,2.5862,0.382638,90.1731,26.7865,229.672,121.664,,
2020-02-08 13:30:58,0.206249,0.2767679999999999,2.93381,0.054711,90.1969,26.7747,245.314,122.0,,
2020-02-08 13:30:59,0.202439,0.277591,2.19198,0.382638,90.1828,26.7855,248.533,121.338,,
2020-02-08 13:31:00,0.205333,0.277906,2.7768900000000003,0.382638,90.2508,26.7855,226.767,121.664,,
2020-02-08 13:31:01,0.204502,0.276496,2.14291,0.054711,90.2719,26.7848,227.945,122.0,,
2020-02-08 13:31:02,0.204907,0.27954,2.25457,0.054711,90.1833,26.7825,228.784,121.338,,
2020-02-08 13:31:03,0.204992,0.274746,2.38389,-0.2732159999999999,90.2679,26.7875,234.788,121.0,,
2020-02-08 13:31:04,0.204815,0.278736,2.40687,0.054711,90.1022,26.7898,231.402,121.664,,
2020-02-08 13:31:05,0.20437,0.2762489999999999,2.76104,0.382638,90.2419,26.7833,234.47,121.338,,
2020-02-08 13:31:07,0.204907,0.27836,2.65672,0.054711,90.2522,26.7843,233.216,121.664,,
2020-02-08 13:31:08,0.203704,0.2765039999999999,2.5061,0.054711,90.2054,26.7936,229.356,122.0,,
2020-02-08 13:31:09,0.204096,0.277827,2.61462,0.054711,90.2578,26.7936,235.778,121.338,,
2020-02-08 13:31:10,0.20319,0.276803,2.81103,0.054711,90.1886,26.7814,248.14,121.664,,
2020-02-08 13:31:11,0.202706,0.276632,2.69997,-0.2732159999999999,90.5175,26.7883,247.719,122.0,,
2020-02-08 13:31:12,0.203511,0.277883,2.52992,0.054711,90.3353,26.7812,235.02,121.338,,
2020-02-08 13:31:13,0.203056,0.276781,2.7178400000000003,0.710565,90.3509,26.787,250.225,121.664,,
2020-02-08 13:31:14,0.203473,0.278308,2.71762,0.054711,90.3026,26.7871,227.54,121.338,,
2020-02-08 13:31:15,0.203366,0.277604,2.33427,0.054711,90.5426,26.7845,229.827,121.664,,
2020-02-08 13:31:16,0.202768,0.277494,2.78032,0.054711,90.1204,26.788,226.568,121.338,,
2020-02-08 13:31:17,0.203615,0.277308,2.1861200000000003,0.382638,89.5723,26.7861,218.903,121.664,,
2020-02-08 13:31:18,0.203229,0.278048,2.6442900000000003,0.382638,90.42,26.7861,227.916,121.338,,
2020-02-08 13:31:19,0.204205,0.278146,2.77153,0.382638,89.8218,26.7873,236.329,121.664,,
2020-02-08 13:31:20,0.203177,0.278051,2.75007,0.054711,90.3506,26.7932,226.561,121.338,,
